album_id,artist_id,album_name,album_type,release_date,total_tracks,spotify_url
6QNMhoV8V0u7cFuhhUBOn7,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl + Acoustic Collection,album,2025-11-07,19,https://open.spotify.com/album/6QNMhoV8V0u7cFuhhUBOn7
4a6NzYL1YHRUgx9e3YZI6I,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl,album,2025-10-03,12,https://open.spotify.com/album/4a6NzYL1YHRUgx9e3YZI6I
4tFsJC9jQ0Qjj7HSExhAdm,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl (Track by Track Version),album,2025-10-02,26,https://open.spotify.com/album/4tFsJC9jQ0Qjj7HSExhAdm
5H7ixXZfsNMGbIE5OBSpcb,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,2024-04-19,31,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,album,2024-04-18,16,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt
0OAv7DCME2AV4q1KPO95HY,3TVXtAsR1Inumwj472S9r4,ICEMAN,album,2026-05-15,18,https://open.spotify.com/album/0OAv7DCME2AV4q1KPO95HY
0P6B5R3yRSkhkmequL5Yno,3TVXtAsR1Inumwj472S9r4,HABIBTI,album,2026-05-15,11,https://open.spotify.com/album/0P6B5R3yRSkhkmequL5Yno
71yBvOeRZ9os9LYFEy9eOk,3TVXtAsR1Inumwj472S9r4,MAID OF HONOUR,album,2026-05-15,14,https://open.spotify.com/album/71yBvOeRZ9os9LYFEy9eOk
6Rl6YoCarF2GHPSQmmFjuR,2HPaUgqeutzr3jx5a9WyDV,$ome $exy $ongs 4 U,album,2025-02-14,21,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR
4Q7cRXio6mF2ImVUCcezPO,3TVXtAsR1Inumwj472S9r4,For All The Dogs Scary Hours Edition,album,2023-11-17,29,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO
2k4FmEtXR0WiDW0Ac2QArT,66CXWjxzNUsdJxJ2JdwvnR,petal,album,2026-07-31,12,https://open.spotify.com/album/2k4FmEtXR0WiDW0Ac2QArT
0JPItniR1C7tjd4ac2R1Vk,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman (Tenth Anniversary Edition),album,2026-05-20,18,https://open.spotify.com/album/0JPItniR1C7tjd4ac2R1Vk
6pamCzTowX31m57z8dC1Sk,3eLZo1bSslvsu0zNhtmMM4,Wicked: For Good – The Soundtrack,album,2025-11-21,11,https://open.spotify.com/album/6pamCzTowX31m57z8dC1Sk
